Object Name,length,height,width,materialNumber,Amount per bin box (LHM C),Stabilität
PAPERBOX 0713 1E 138X113X57,138,57,113,1040777,,1E
PAPERBOX Solid Board 138X90X62 WH MERCH,138,62,90,1038596,44,keine
PAPERBOX 0427 1E 146X138X68 BL,146,68,138,1034635,17,1E
PAPERBOX 0427 1E 146X138X80 BL,146,80,138,1034636,14,1E
FALTSCHACHTEL AUTOM.BODEN 139X113X55MM NEUTRAL,139,55,113,138398,,keine
PAPERBOX 0713 1E 139X113X65,139,65,113,1040927,,1E
FALTSCHACHTEL AUTOM.BODEN 139X113X65MM BEDRUCKT,139,65,113,138403,,keine
PAPERBOX 1E 0713 139X77X88 BL,139,88,77,,27,1E
FALTSCHACHTEL 140X90X45 BLANK,140,45,90,9035547,38,keine
PAPERBOX 0427 1E 140X64X52 BL,140,52,64,199540,51,1E
PAPERBOX 0421 1E 220X130X60 BL,220,60,130,9605008,12,1E
PAPERBOX 1B 0471 140X75X65 BL,140,65,75,9501474,34,1B
FALTSCHACHTEL 140X90X65 BLANK,140,65,90,9035546,29,keine
PAPERBOX FIX 1B 140X140X95 BL,140,95,140,1011503,5,1B
PAPERBOX 0421 1E 141X117X36 BL,141,36,117,1037996,42,1E
PAPERBOX 0421 1E 141X128X61 BL,141,61,128,1037995,22,1E
PAPEREGB 1E 0426 142X72X16 BL,142,16,72,9011957,138,1E
PAPERBOX 0426 1E 142X62X33,142,33,62,1040023,,1E
PAPERBOX 1E 0426 142X64X45 P,142,45,64,9500077,61,1E
PAPERBOX 0426 1E 142X64X45 S,142,45,64,143325,61,1E
PAPERBOX 0420 1E 142X64X45,142,45,64,176465,57,1E
PAPEREGB 1E 0713 142X73X53 BL,142,53,73,9010330,44,1E
PAPER BOX 140X68X63,140,63,68,,,keine
PAPERBOX 0420 1E 142X57X64 P,142,64,57,203385,,1E
PAPERBOX 0426 1E 142X82X95 BL,142,95,82,1018132,24,1E
PAPERBOX 0426 1E 142x82x102 BL,142,102,82,1010573,18,1E
PAPER BOX 144 X 72 X 35,144,35,72,9635146,,keine
PAPERBOX 0426 1E 140X67X34 BL,140,34,67,1009810,81,1E
PAPERBOX 0423 1E 141X57X35 P,141,35,57,1021745,101,1E
PAPERBOX 0427 1E 144X124X60 BL,144,60,124,1036473,20,1E
PAPERBOX 1E 0471 145X32X35 BL,145,35,32,9030870,134,1E
PAPERBOX 0426 1E 150X142X42 CN,150,42,142,1036671,27,1E
PAPERBIN 1E 0713 145X135X81 P,145,81,135,56571,16,1E
PAPERBOX 1E 0713 145X60X82 P,145,82,60,166909,32,1E
PAPERBOX 0713 1E 145X116X86,145,86,116,1040778,,1E
PAPER BOX 146X118X88,146,88,118,177008,16,keine
